Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
134,Sara Holmgaard,MF,dk Denmark,23-182,1999,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ad0ed89a
135,Fabienne Humm,FWMF,ch Switzerland,35-221,1986,2,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4d3a7c65
136,Lina Hurtig,FW,se Sweden,26-327,1995,4,2,172,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2d28fd4d
137,Svenja Huth,FW,de Germany,31-185,1991,5,5,421,4.7,0,2,0,0,0,0,0,0.00,0.43,0.43,0.00,0.43,Matches,8b5f141c
138,Ashley Hutton,DF,nir Northern Ireland,34-269,1987,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b1deb19f
139,Tuija Hyyrynen,DF,fi Finland,34-141,1988,1,1,65,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c75d990d
140,Celin Ildhusoy,FW,no Norway,20-278,2001,2,0,44,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,827f4be5
141,Amanda Ilestedt,DF,se Sweden,29-193,1993,5,5,414,4.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,93514385
142,Amanda Jacobsen Andradottir,MF,is Iceland,18-223,2003,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c80f9ac0
143,Sofia Jakobsson,FW,se Sweden,32-097,1990,1,1,50,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,27a4ff80
144,Sveindis Jane Jonsdottir,FWMF,is Iceland,21-054,2001,3,3,239,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ce6e8fa2
145,Dominique Janssen,DF,nl Netherlands,27-193,1995,4,4,390,4.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,800b668b
